No,Map,Total AGVs,Horizontal Time,Time step,Solution,Num of Reaching Target AGVs,Num of Halting AGVs,Objective Value,Running Time(s),# Of Solving,Pedestrian simulation mode
1,Redundant3x3Wards.txt,10,600,10,networkx,10,0,3524,773.32221364975,1.39478294054667,2
2.0,Redundant3x3Wards.txt,2,300,10,networkx,0,2,0,2.361940383911133,0.07646367766640404,0
3.0,Redundant3x3Wards.txt,2,300,10,solver,0,2,0,12.572806119918823,1.4282015,0
4.0,Redundant3x3Wards.txt,2,600,10,networkx,1,1,756.0,2.3984930515289307,0.0859646201133728,0
5.0,Redundant3x3Wards.txt,2,600,10,solver,1,1,192.0,91.25776720046997,5.703212,0
6.0,Redundant3x3Wards.txt,2,900,10,networkx,2,0,1572.0,241.7629199028015,0.4197983912059239,0
7.0,Redundant3x3Wards.txt,2,900,10,solver,2,0,1790.0,611.4497892856598,32.85296858333333,0
8.0,Redundant3x3Wards.txt,4,300,10,networkx,0,4,0,4.259693384170532,0.10526317358016968,0
9.0,Redundant3x3Wards.txt,4,300,10,solver,1,3,420.0,147.32146573066711,5.5854987199999995,0
10.0,Redundant3x3Wards.txt,6,300,10,networkx,0,6,0,5.852809190750122,0.09286957520705003,0
11.0,Redundant3x3Wards.txt,6,300,10,solver,1,5,310.0,389.11320781707764,11.418674848484848,0
12.0,Redundant3x3Wards.txt,8,300,10,networkx,2,6,672.0,31.217264652252197,0.28834031422932943,0
13.0,Redundant3x3Wards.txt,8,300,10,solver,3,5,1086.0,1222.9818885326385,35.065661852941176,0
14.0,Redundant3x3Wards.txt,10,300,10,networkx,4,6,1210.0,50.88713240623474,0.4742034912109375,0
15.0,Redundant3x3Wards.txt,10,300,10,solver,2,8,446.0,2195.6951851844788,58.226749513513504,0
16.0,Redundant3x3Wards.txt,10,300,10,networkx,4,6,1264.0,45.217512369155884,0.4190554618835449,0
17.0,Redundant3x3Wards.txt,10,300,10,solver,4,6,1261.0,4054.1784241199493,84.72573757446804,0
18.0,Redundant3x3Wards.txt,10,300,10,networkx,5,5,1515.0,67.57696723937988,0.47252243757247925,0
19.0,Redundant3x3Wards.txt,10,300,10,solver,3,7,1158.0,3849.4966275691986,108.1783527142857,0
20.0,Redundant3x3Wards.txt,10,300,10,networkx,3,7,1253.0,51.681742906570435,0.40653015949107985,0
21.0,Redundant3x3Wards.txt,10,300,10,solver,3,7,1019.0,6284.825274944305,144.73811062790693,0
22.0,Redundant3x3Wards.txt,10,300,10,networkx,7,3,1456.0,209.73512625694275,0.5369267284870147,2
23.0,Redundant3x3Wards.txt,10,300,10,solver,7,3,1657.0,9069.861067056656,192.45867080434783,2
24.0,Redundant3x3Wards.txt,10,300,10,networkx,7,3,2325.0,242.93266105651855,0.4493961223336153,2
25.0,Redundant3x3Wards.txt,10,300,10,solver,6,4,1563.0,4033.5632820129395,106.95949688888889,2
26.0,Redundant3x3Wards.txt,10,300,10,networkx,4,6,886.0,233.8969156742096,0.30198430131982873,2
27.0,Redundant3x3Wards.txt,10,300,10,solver,5,5,1118.0,1858.6921865940094,42.76714080487803,2
28.0,Redundant3x3Wards.txt,10,300,10,networkx,4,6,1385.0,25.028513431549072,0.22451477580600315,0
29.0,Redundant3x3Wards.txt,10,300,10,solver,5,5,1595.0,2994.7507467269897,81.99742519444446,0
30.0,simplest.txt,2,10,10,solver,0,2,0,0.27750372886657715,0.111818,0,2025-03-11 09:16:42
31.0,simplest.txt,2,10,10,solver,0,2,0,0.009869098663330078,0.004502,0,2025-03-11 09:16:42
32.0,simplest.txt,2,10,10,networkx,2,0,15.0,0.3739309310913086,0.00037868817647298175,0,2025-03-11 10:10:42
33.0,simplest.txt,2,10,10,solver,2,0,15.0,0.021338462829589844,0.0048586666666666665,0,2025-03-11 10:10:42
34.0,simplest.txt,2,10,10,networkx,0,2,0,0.04366636276245117,0.0005891323089599609,0,2025-03-11 10:11:31
35.0,simplest.txt,2,10,10,solver,0,2,0,0.010530948638916016,0.005889999999999999,0,2025-03-11 10:11:31
36.0,simplest.txt,2,10,10,networkx,2,0,15.0,0.0013911724090576172,0.0003910064697265625,1,2025-03-11 10:11:31
37.0,simplest.txt,2,10,10,solver,2,0,15.0,0.007044553756713867,0.0042239999999999995,1,2025-03-11 10:11:31
38.0,simplest.txt,2,10,10,networkx,0,2,0,0.002104043960571289,0.0003151893615722656,2,2025-03-11 10:11:31
39.0,simplest.txt,2,10,10,solver,0,2,0,0.00695490837097168,0.004098,2,2025-03-11 10:11:31
40.0,simplest.txt,2,10,10,networkx,0,2,0,0.04291081428527832,0.00057220458984375,0,2025-03-11 10:12:54
41.0,simplest.txt,2,10,10,solver,0,2,0,0.007700204849243164,0.004883,0,2025-03-11 10:12:54
42.0,simplest.txt,2,10,10,networkx,2,0,15.0,0.001436471939086914,0.00031495094299316406,1,2025-03-11 10:12:54
43.0,simplest.txt,2,10,10,solver,2,0,15.0,0.008391380310058594,0.0046,1,2025-03-11 10:12:54
44.0,simplest.txt,2,10,10,networkx,0,2,0,0.002121448516845703,0.00029730796813964844,2,2025-03-11 10:12:54
45.0,simplest.txt,2,10,10,solver,0,2,0,0.009824991226196289,0.0048059999999999995,2,2025-03-11 10:12:54
46.0,simplest.txt,2,10,10,networkx,0,2,0,0.09580135345458984,0.002251148223876953,0,2025-03-11 10:28:37
47.0,simplest.txt,2,10,10,solver,0,2,0,0.010407686233520508,0.0065049999999999995,0,2025-03-11 10:28:37
48.0,simplest.txt,2,10,10,networkx,2,0,15.0,0.0030908584594726562,0.0012195110321044922,1,2025-03-11 10:28:37
49.0,simplest.txt,2,10,10,solver,2,0,15.0,0.006920576095581055,0.004343,1,2025-03-11 10:28:38
50.0,simplest.txt,2,10,10,networkx,0,2,0,0.09966111183166504,0.003434896469116211,0,2025-03-11 10:30:27
51.0,simplest.txt,2,10,10,solver,0,2,0,0.009038448333740234,0.006246,0,2025-03-11 10:30:27
52.0,simplest.txt,2,10,10,networkx,2,0,15.0,0.0026700496673583984,0.0008044242858886719,1,2025-03-11 10:30:27
53.0,simplest.txt,2,10,10,solver,2,0,15.0,0.01601266860961914,0.012568,1,2025-03-11 10:30:28
54.0,Redundant3x3Wards.txt,2,10,10,networkx,0,2,0,0.0452265739440918,0.0006482601165771484,0,2025-03-11 10:30:55
55.0,Redundant3x3Wards.txt,2,10,10,solver,0,2,0,0.009937524795532227,0.006082,0,2025-03-11 10:30:55
56.0,Redundant3x3Wards.txt,2,10,10,networkx,0,2,0,0.0015168190002441406,0.00038814544677734375,1,2025-03-11 10:30:55
